Actual,Predictions
2,"[9.1357414e-08 1.5745898e-06 9.9998677e-01 1.7238831e-06 1.4872122e-09
 1.0303053e-09 1.5895264e-08 9.2861510e-06 3.8269351e-07 3.5857099e-08]"
9,"[6.5198901e-07 6.3371967e-06 8.9009864e-06 8.4638623e-07 2.9533954e-02
 9.7666401e-08 2.0949207e-07 9.3716399e-06 4.8247078e-03 9.6561497e-01]"
7,"[5.8654055e-09 1.5597602e-06 3.8618153e-05 9.7454574e-07 9.6817610e-07
 1.6265198e-09 1.6844763e-11 9.9984062e-01 1.7891386e-08 1.1724197e-04]"
7,"[6.4184192e-08 8.9374862e-06 1.3241507e-06 7.7031316e-08 2.5407173e-08
 1.5357524e-07 1.1426219e-10 9.9998784e-01 1.0358197e-09 1.5534429e-06]"
6,"[5.0075930e-09 9.3352539e-13 2.9752134e-13 1.8464774e-14 3.8732095e-12
 8.0327140e-08 9.9999988e-01 2.5457957e-17 2.7050945e-10 1.4393163e-11]"
2,"[1.7472950e-12 2.4086115e-09 1.0000000e+00 1.5756680e-08 5.2886883e-13
 1.6577160e-13 3.1645835e-11 7.0164985e-09 1.1456795e-11 5.3444201e-13]"
7,"[2.6282128e-08 2.7023901e-07 2.7074166e-06 4.3819466e-07 5.0328026e-09
 1.8202043e-08 6.8692121e-11 9.9999571e-01 6.6120975e-10 8.5056820e-07]"
8,"[5.2443244e-15 2.8089240e-17 3.1878525e-15 2.8465216e-13 1.7455918e-13
 4.0321271e-09 1.5121543e-09 5.1521507e-18 1.0000000e+00 9.0568837e-12]"
4,"[1.0531149e-09 7.8702606e-06 1.0825903e-07 5.2434559e-09 9.9998200e-01
 1.0101727e-08 5.5057040e-08 9.4542347e-06 1.8526387e-07 4.1608826e-07]"
7,"[1.0932001e-08 1.1151237e-05 1.2995768e-05 2.0130350e-05 1.1462859e-06
 4.3895825e-09 5.4165217e-10 9.9984181e-01 2.2703202e-07 1.1244139e-04]"
3,"[1.8399634e-11 1.7867136e-06 3.5652987e-04 9.9936372e-01 2.0112589e-09
 6.7367004e-08 3.3140513e-09 2.7730913e-04 5.0518707e-07 1.2982599e-08]"
6,"[6.7197914e-09 4.1692605e-14 2.3174001e-16 1.1882589e-15 9.5271560e-12
 2.7483255e-08 1.0000000e+00 3.3345714e-18 1.3080011e-10 3.5489515e-13]"
1,"[3.3360234e-06 9.9988079e-01 1.0244994e-06 1.2746059e-05 5.3190006e-06
 1.4088836e-05 1.6519325e-05 7.7845807e-06 2.0408275e-05 3.7979033e-05]"
3,"[6.7054405e-16 3.3323882e-12 2.4631787e-12 1.0000000e+00 4.3001524e-19
 5.9620984e-09 9.6350453e-16 2.9961859e-14 1.7948620e-12 1.4926525e-11]"
6,"[8.9877375e-08 6.2801820e-13 7.1870521e-13 2.2019880e-13 8.4671166e-11
 3.4595294e-07 9.9999952e-01 1.9502104e-16 2.2182642e-09 1.6264114e-10]"
9,"[1.9375495e-08 1.1964734e-07 3.9775198e-08 8.2580988e-07 2.7801841e-03
 4.8164566e-07 1.6413301e-09 8.6035780e-06 8.2315264e-06 9.9720156e-01]"
3,"[8.18736572e-12 1.03640116e-06 1.01536656e-07 9.99998331e-01
 2.96661415e-12 9.81343575e-08 3.67822049e-12 9.65141993e-08
 2.32692754e-09 1.94482894e-07]"
1,"[2.41035241e-06 9.99664426e-01 7.04400179e-07 1.35603795e-08
 2.99368810e-04 5.05574747e-07 5.25318865e-06 5.30998193e-07
 1.38740143e-06 2.54248789e-05]"
4,"[1.1041085e-04 1.3468599e-05 3.2505445e-06 4.2502552e-07 9.1675609e-01
 4.8211936e-05 1.6924813e-03 8.9361984e-06 6.7991152e-02 1.3375599e-02]"
1,"[1.5124265e-06 9.9767679e-01 6.2514642e-05 7.5721778e-06 1.2714513e-04
 3.0110164e-06 3.3781362e-08 9.4899529e-04 4.5452787e-05 1.1270340e-03]"
7,"[3.5124694e-12 5.8634560e-06 6.0656625e-05 5.4610638e-08 3.9345528e-06
 3.6138240e-10 2.2247804e-08 9.9992812e-01 1.2846813e-06 1.5119808e-07]"
6,"[4.0564796e-09 5.2539310e-13 6.5468159e-11 2.2290057e-15 1.7554831e-15
 4.9178239e-09 1.0000000e+00 9.5332160e-18 2.1243103e-10 6.8126830e-13]"
9,"[3.1381352e-12 1.9946180e-15 2.4041912e-13 1.3190607e-12 7.0134343e-09
 4.1479868e-14 1.1916465e-13 2.8134170e-10 1.3842472e-09 1.0000000e+00]"
6,"[2.3640987e-07 3.6614648e-13 4.6651627e-14 8.7629155e-13 1.9500013e-09
 4.7213686e-07 9.9999928e-01 1.7977676e-14 9.3585681e-09 3.2779433e-09]"
0,"[1.0000000e+00 3.7623031e-15 3.2352051e-13 1.7683964e-13 7.3124944e-14
 1.0412561e-12 1.6028776e-10 5.9406859e-14 1.6050610e-11 1.0288121e-10]"
5,"[2.3414269e-14 1.3211349e-14 2.2732761e-13 5.0072317e-06 3.1712697e-14
 9.9999487e-01 1.6768498e-11 8.1751737e-14 5.4571020e-10 9.4002324e-08]"
4,"[4.3258485e-13 1.9449211e-09 3.9962011e-10 4.2426644e-13 1.0000000e+00
 1.8962196e-11 1.9146260e-12 6.3945560e-09 7.3184923e-11 7.4099626e-10]"
9,"[4.8306061e-09 3.4449557e-10 4.9627754e-08 2.6562219e-07 9.7873863e-07
 2.4330702e-04 3.5241258e-06 1.3988017e-07 6.8125423e-06 9.9974495e-01]"
9,"[4.8143334e-10 1.0149942e-13 9.6262234e-11 4.3816133e-09 5.0543402e-08
 1.3774602e-10 1.0767049e-10 6.3686800e-10 3.0626261e-06 9.9999690e-01]"
2,"[1.65934419e-10 1.09115035e-11 9.99999762e-01 3.44146733e-09
 1.74500984e-12 4.49756904e-13 7.02754912e-12 2.28709823e-07
 2.93561814e-10 6.69500289e-11]"
1,"[5.7189564e-09 9.9999940e-01 2.4769662e-09 4.7286730e-13 6.4172414e-09
 1.3514951e-08 5.2675051e-07 2.3098392e-09 2.0244665e-08 5.1587397e-09]"
9,"[2.1513369e-09 1.8041877e-08 1.3586377e-07 7.4912521e-09 9.7489997e-04
 9.6321022e-09 2.7061508e-11 8.4382509e-06 3.8924748e-07 9.9901617e-01]"
4,"[1.3805575e-14 7.5936098e-12 5.1543161e-13 2.9886943e-16 1.0000000e+00
 4.6158308e-14 1.8501645e-11 1.7621198e-10 2.4869278e-09 5.3643434e-10]"
8,"[1.3382896e-13 5.5122770e-15 1.3926865e-10 1.0680288e-08 7.3361456e-14
 2.5974494e-09 7.4216772e-13 3.7944861e-16 1.0000000e+00 2.9449845e-10]"
7,"[9.0301540e-07 3.7250922e-03 2.5244118e-04 2.7317224e-06 3.7835980e-07
 2.1648512e-09 2.0907112e-09 9.9507409e-01 7.5256236e-07 9.4356568e-04]"
3,"[5.8363727e-17 2.2186365e-10 2.1411256e-11 1.0000000e+00 1.0983563e-15
 1.5816388e-08 1.4704264e-13 6.9799808e-12 1.2904246e-10 5.5556415e-10]"
9,"[5.2779183e-12 1.0877457e-13 2.6358995e-12 7.4463422e-11 1.2176489e-08
 6.1826309e-13 3.0658551e-12 1.2752330e-09 1.4254324e-07 9.9999988e-01]"
7,"[7.8136872e-14 1.3736758e-06 5.8078310e-08 4.0685492e-08 8.9170260e-07
 7.9269360e-13 2.6245286e-12 9.9999499e-01 6.8689970e-11 2.6770642e-06]"
4,"[1.1886538e-08 4.6170170e-09 1.1039746e-09 2.9182265e-09 8.8756329e-01
 4.3141102e-07 2.2306058e-06 2.0951484e-08 5.3334730e-05 1.1238072e-01]"
4,"[8.8591676e-09 4.7382437e-06 2.1820846e-08 6.1777867e-09 9.9963939e-01
 3.0192319e-07 3.7134655e-06 6.3336512e-07 1.3090579e-06 3.4983683e-04]"
4,"[1.41351195e-10 3.21766470e-06 3.95021935e-08 1.39047573e-09
 9.99982476e-01 4.14078158e-08 1.07126880e-07 1.35960045e-05
 2.67474398e-08 5.48162518e-07]"
9,"[7.7196887e-08 3.1462652e-11 3.2218754e-09 3.0237697e-09 2.7391367e-05
 1.1602319e-10 8.2177920e-10 1.3912970e-07 9.9171748e-06 9.9996245e-01]"
2,"[1.8544404e-07 4.1715893e-08 9.9929869e-01 2.9446504e-05 2.8265607e-08
 2.4975482e-09 6.6647701e-08 6.6946121e-04 1.8620633e-06 1.4079224e-07]"
5,"[5.0235631e-15 2.1540248e-14 1.3659746e-12 9.8497736e-08 4.7448536e-14
 9.9999988e-01 6.4380674e-11 3.3650224e-14 2.5877162e-10 2.1395406e-08]"
4,"[8.3645729e-11 4.4742592e-09 1.4159656e-11 9.4523499e-13 9.9999321e-01
 1.3879337e-09 1.5187091e-08 1.3913283e-10 2.7687676e-07 6.4628935e-06]"
7,"[2.5154459e-06 1.2466466e-04 4.2375393e-04 6.9364098e-05 2.6329525e-07
 1.7539479e-07 1.1302301e-08 9.9879360e-01 1.7807947e-06 5.8384700e-04]"
6,"[3.9857060e-09 8.0665027e-13 6.2461153e-13 2.3457224e-13 9.2492627e-09
 9.9182609e-09 1.0000000e+00 6.0042587e-15 2.0367499e-11 1.7229534e-09]"
7,"[2.6401239e-11 5.7026270e-08 4.2089758e-09 1.3143269e-09 3.7934817e-05
 2.4012631e-10 2.3730362e-12 9.9996042e-01 3.2380299e-08 1.6864958e-06]"
9,"[3.3210126e-09 4.3049353e-10 2.0415805e-09 2.0914974e-10 1.0311564e-05
 1.1367279e-11 3.4867997e-11 1.2474582e-08 1.8687825e-07 9.9998939e-01]"
0,"[9.9999964e-01 1.0652431e-12 2.8598962e-10 6.8260793e-09 4.7025622e-10
 3.6127403e-09 8.5664613e-09 1.8354505e-11 1.6979713e-07 1.6475863e-07]"
5,"[1.6463808e-18 2.9715512e-16 6.7507626e-17 1.7897481e-08 4.5347553e-17
 1.0000000e+00 1.3922355e-13 2.4015818e-18 1.3362345e-12 1.8215726e-09]"
8,"[2.8105064e-12 2.1344806e-13 1.2395317e-10 2.2182689e-07 1.6295525e-12
 6.3055381e-08 3.0023697e-10 7.0672390e-13 9.9999976e-01 1.1431205e-08]"
5,"[2.9031790e-17 1.2143182e-16 1.2598574e-16 1.3861653e-09 1.8489391e-16
 1.0000000e+00 6.2340385e-12 5.3378664e-18 3.3149232e-12 1.6066616e-09]"
6,"[7.95080126e-08 2.42465926e-11 2.82798914e-12 2.01384343e-11
 1.91409194e-10 3.40303341e-05 9.99965906e-01 2.01006780e-14
 1.32095455e-08 3.95950561e-09]"
6,"[4.7920796e-09 1.1978850e-11 1.0227720e-11 1.9813049e-12 1.4642457e-11
 1.8207661e-06 9.9999821e-01 1.2616688e-15 1.4973972e-08 8.1650540e-11]"
5,"[1.2861482e-13 1.3601812e-12 1.0479763e-11 8.4079238e-07 5.1431827e-14
 9.9999917e-01 2.6982494e-10 9.9852303e-14 4.9801236e-11 3.5450878e-08]"
7,"[3.7861485e-12 3.1522299e-07 8.4611520e-07 1.4345976e-07 1.1620639e-07
 7.8203494e-12 2.0039395e-12 9.9999177e-01 1.8520356e-10 6.8002801e-06]"
8,"[5.8072111e-14 1.2045237e-16 5.1390080e-11 1.5298536e-09 4.3763681e-15
 3.3317652e-12 8.5179049e-14 9.9749681e-16 1.0000000e+00 2.4807002e-11]"
1,"[6.1217392e-08 9.9999869e-01 5.8026344e-09 1.7904516e-09 9.0776746e-07
 5.2927995e-09 3.5031565e-08 9.1916412e-08 2.9851709e-08 1.6043415e-07]"
0,"[1.0000000e+00 5.7163611e-14 2.2671921e-12 1.8709723e-13 2.4846634e-15
 1.7552322e-11 2.2667522e-11 1.2433949e-12 8.9198206e-12 2.0751857e-12]"
1,"[1.2620666e-07 9.9999845e-01 3.7363375e-08 7.2795869e-10 5.6832585e-07
 5.7452372e-08 1.1280900e-07 1.2242080e-07 1.9952870e-07 4.4251885e-07]"
6,"[1.93513863e-08 8.71803064e-12 1.04405705e-14 2.98103610e-13
 3.84633791e-09 3.77452132e-08 1.00000000e+00 1.80455308e-15
 4.19524797e-11 3.13236589e-11]"
4,"[7.1654335e-11 5.7565606e-09 8.1094463e-13 1.3968318e-12 9.9995756e-01
 8.3425311e-10 2.2654525e-09 1.1266918e-10 2.2632412e-07 4.2162923e-05]"
6,"[7.6422978e-08 3.2731881e-10 3.8011599e-10 3.8364533e-12 1.7086732e-10
 3.3063989e-07 9.9999952e-01 6.3089902e-15 2.0125780e-08 1.5776083e-10]"
7,"[3.5605949e-09 5.2608237e-07 2.5376852e-07 5.4676814e-08 5.1637681e-08
 1.8998534e-09 2.0522322e-11 9.9999666e-01 2.8062059e-09 2.5550955e-06]"
3,"[3.0157421e-18 6.2188542e-14 5.7286288e-14 1.0000000e+00 1.5903055e-19
 4.5176978e-09 3.7582541e-17 2.8199009e-14 1.7706081e-12 5.3858940e-10]"
1,"[5.5201792e-07 9.9999213e-01 3.8613319e-07 1.8206655e-09 2.0518719e-06
 1.8497357e-07 3.2984556e-08 3.0740648e-06 6.2230282e-07 9.3046344e-07]"
